x,y,z
1.0000000000,1.0000000000,1.0000000000
1.0125657330,1.2599200262,0.9848910449
1.0488214558,1.5240008489,0.9731143390
1.1072062803,1.7983146119,0.9651590915
1.1868654635,2.0885455721,0.9617373650
1.2875547704,2.4001604472,0.9638061869
1.4095688168,2.7385521056,0.9726082635
1.5536888013,3.1091610075,0.9897311791
1.7211458087,3.5175771475,1.0171865424
1.9135964124,3.9696235166,1.0575118412
2.1331076187,4.4714201773,1.1138988857
2.3821482846,5.0294257501,1.1903537014
2.6635839757,5.6504502654,1.2918935228
2.9806717767,6.3416296882,1.4247870100
3.3370507567,7.1103477076,1.5968436616
3.7367225472,7.9640843042,1.8177571702
4.1840147103,8.9101628932,2.0995043882
4.6835171428,9.9553583733,2.4567954639
5.2399785813,11.1053174058,2.9075598834
5.8581463131,12.3637306446,3.4734352267
6.5425275560,13.7311867139,4.1801974121
7.2970460911,15.2036340337,5.0580296532
8.1245635646,16.7703872043,6.1414694324
9.0262333190,18.4116526320,7.4687982792
10.0006588795,20.0956321944,9.0805544630
11.0428442401,21.7754171843,11.0167733858
12.1429555454,23.3861285428,13.3125358632
13.2849709168,24.8430958267,15.9915013249
14.4453818253,26.0422510716,19.0574191296
15.5922217370,26.8642118006,22.4842445779
16.6848139669,27.1834923501,26.2064602042
17.6747031185,26.8835828723,30.1123505991
18.5081898808,25.8770154212,34.0438215590
19.1306524310,24.1271165075,37.8061317405
19.4923841420,21.6657293234,41.1889073846
19.5550943799,18.6002239351,43.9960366464
19.2977290986,15.1049760914,46.0777665847
18.7201502318,11.3972830888,47.3558656409
17.8436340951,7.7035046436,47.8340283287
16.7080094208,4.2249999165,47.5907122586
15.3662000728,1.1130374686,46.7578433172
13.8775580420,-1.5423129219,45.4930623931
12.3014537357,-3.7096921231,43.9536621955
10.6922060387,-5.4046554249,42.2777086466
9.0958439728,-6.6740580127,40.5741110627
7.5486585910,-7.5811029146,38.9204580480
6.0771731458,-8.1935841823,37.3660391259
4.6990450338,-8.5760589349,35.9374114597
3.4244508153,-8.7855328840,34.6445260725
2.2576159012,-8.8697573464,33.4862438461
1.1982729687,-8.8671977281,32.4547402107
0.2429354456,-8.8079123521,31.5387269012
-0.6140556470,-8.7148144869,30.7256386512
-1.3797094514,-8.6049969246,30.0030099315
-2.0617630526,-8.4909499607,29.3592653473
-2.6682260632,-8.3816016036,28.7841113935
-3.2070582052,-8.2831654575,28.2686726153
-3.6859494636,-8.1998104863,27.8054741919
-4.1121773132,-8.1341785992,27.3883399983
-4.4925205750,-8.0877783822,27.0122507365
-4.8332140188,-8.0612811061,26.6731895349
-5.1399316413,-8.0547411599,26.3679908244
-5.4177895953,-8.0677587833,26.0942007709
-5.6713621134,-8.0995990753,25.8499528277
-5.9047055735,-8.1492780095,25.6338591344
-6.1213872011,-8.2156236101,25.4449168901
-6.3245159152,-8.2973184717,25.2824280123
-6.5167735821,-8.3929283367,25.1459300448
-6.7004454858,-8.5009203658,25.0351362476
-6.8774492606,-8.6196739675,24.9498829099
-7.0493618353,-8.7474864967,24.8900821496
-7.2174441861,-8.8825757548,24.8556787264
-7.3826638855,-9.0230809497,24.8466096755
-7.5457155825,-9.1670635876,24.8627658741
-7.7070396697,-9.3125096272,24.9039549532
-7.8668394894,-9.4573341130,24.9698652756
-8.0250975087,-9.5993893859,25.0600310139
-8.1815909487,-9.7364778416,25.1737986684
-8.3359073948,-9.8663700382,25.3102956716
-8.4874609266,-9.9868287376,25.4684020104
-8.6355093028,-10.0956391893,25.6467260499
-8.7791726943,-10.1906456230,25.8435859460
-8.9174543912,-10.2697935072,26.0569981563
-9.0492638059,-10.3311766739,26.2846745846
-9.1734419518,-10.3730879168,26.5240297892
-9.2887894075,-10.3940711842,26.7721994410
-9.3940965700,-10.3929730398,27.0260708120
-9.4881757846,-10.3689907208,27.2823255239
-9.5698947092,-10.3217139153,27.5374941075
-9.6382100594,-10.2511573789,27.7880211564
-9.6922006925,-10.1577817283,28.0303390645
-9.7310988603,-10.0425002184,28.2609475966
-9.7543183900,-9.9066700102,28.4764959216
-9.7614785738,-9.7520673257,28.6738633300
-9.7524226544,-9.5808469029,28.8502347176
-9.7272299881,-9.3954872087,29.0031670806
-9.6862212426,-9.1987238409,29.1306437373
-9.6299563194,-8.9934743578,29.2311137364
-9.5592250582,-8.7827583222,29.3035148614
-9.4750311476,-8.5696165900,29.3472797022
-9.3785700110,-8.3570337878,29.3623253382
-9.2712017194,-8.1478675333,29.3490281483
-9.1544201935,-7.9447873070,29.3081860602
-9.0298200749,-7.7502250670,29.2409711020
-8.8990626690,-7.5663387966,29.1488753995
-8.7638423018,-7.3949892792,29.0336537834
-8.6258542902,-7.2377295908,28.8972659548
-8.4867655298,-7.0958061310,28.7418207635
-8.3481884718,-6.9701695305,28.5695246467
-8.2116590149,-6.8614934734,28.3826357065
-8.0786185889,-6.7701993548,28.1834243499
-7.9504004907,-6.6964847273,27.9741408946
-7.8282203328,-6.6403536462,27.7569901137
-7.7131703130,-6.6016472570,27.5341123437
-7.6062168930,-6.5800732611,27.3075705323
-7.5082014074,-6.5752331867,27.0793424617
-7.4198430665,-6.5866466851,26.8513172785
-7.3417438251,-6.6137723534,26.6252954790
-7.2743945826,-6.6560247881,26.4029914971
-7.2181822378,-6.7127877911,26.1860381399
-7.1733971363,-6.7834237818,25.9759921480
-7.1402405336,-6.8672795793,25.7743402926
-7.1188317312,-6.9636888080,25.5825054569
-7.1092146076,-7.0719712220,25.4018522444
-7.1113633338,-7.1914292754,25.2336917254
-7.1251870934,-7.3213422979,25.0792849528
-7.1505337029,-7.4609586314,24.9398449561
-7.1871920523,-7.6094861102,24.8165369144
-7.2348933453,-7.7660812751,24.7104762649
-7.2933111493,-7.9298377329,24.6227244940
-7.3620603102,-8.0997741136,24.5542824077
-7.4406948238,-8.2748221047,24.5060806779
-7.5287047970,-8.4538151070,24.4789675302
-7.6255126726,-8.6354781114,24.4736934613
-7.7304689345,-8.8184194552,24.4908929878
-7.8428475601,-9.0011251993,24.5310634984
-7.9618415252,-9.1819569000,24.5945414409
-8.0865587249,-9.3591536123,24.6814762359
-8.2160187117,-9.5308389580,24.7918024992
-8.3491506920,-9.6950340574,24.9252114039
-8.4847932594,-9.8496770418,25.0811222467
-8.6216963517,-9.9926496967,25.2586555452
-8.7585259134,-10.1218115356,25.4566092410
-8.8938717181,-10.2350412749,25.6734397841
-9.0262587353,-10.3302852582,25.9072500152
-9.1541623229,-10.4056118713,26.1557857943
-9.2760273829,-10.4592704370,26.4164432279
-9.3902914342,-10.4897525063,26.6862880797
-9.4954113328,-10.4958529220,26.9620885041
-9.5898931283,-10.4767275939,27.2403616188
-9.6723242820,-10.4319446315,27.5174336372
-9.7414072259,-10.3615254270,27.7895123799
-9.7959930206,-10.2659724848,28.0527700252
-9.8351137051,-10.1462813006,28.3034330456
-9.8580118465,-10.0039343846,28.5378755013
-9.8641658051,-9.8408765616,28.7527113221
-9.8533093475,-9.6594718806,28.9448809906
-9.8254444630,-9.4624437218,29.1117281865
-9.7808465544,-9.2528008743,29.2510624772
-9.7200615722,-9.0337533397,29.3612050022
-9.6438950882,-8.8086223072,29.4410152263
-9.5533937532,-8.5807490481,29.4898981026
-9.4498199862,-8.3534073939,29.5077922712
-9.3346210894,-8.1297239949,29.4951410906
-9.2093942331,-7.9126097820,29.4528492470
-9.0758488943,-7.7047050688,29.3822283405
-8.9357683648,-7.5083396495,29.2849351679
-8.7909718666,-7.3255081774,29.1629064261
-8.6432786438,-7.1578601497,29.0182932784
-8.4944751700,-7.0067030485,28.8533987367
