x,y,z
-8.0000000000,8.0000000000,27.0000000000
-6.4864030457,7.8031705218,25.7255226208
-5.1380176764,7.5625890041,24.6088107424
-3.9415062084,7.3129883681,23.6289284966
-2.8820481554,7.0781717102,22.7657106836
-1.9443799157,6.8738531788,22.0012500919
-1.1134914467,6.7099483660,21.3204597964
-0.3750651423,6.5923275168,20.7111145069
0.2842710253,6.5241112633,20.1636308249
0.8768194797,6.5066038189,19.6707427293
1.4137756611,6.5399506206,19.2271598962
1.9052464012,6.6235915026,18.8292534860
2.3603020474,6.7565638387,18.4747885140
2.7870468822,6.9376956229,18.1627075665
3.1926970821,7.1657169291,17.8929630559
3.5836587397,7.4393094504,17.6663915687
3.9656007380,7.7571073681,17.4846223385
4.3435187799,8.1176581623,17.3500113615
4.7217878846,8.5193487045,17.2655925116
5.1042013092,8.9602998010,17.2350368193
5.4939942854,9.4382310992,17.2626106522
5.8938512678,9.9502978796,17.3531227866
6.3058956814,10.4929017629,17.5118493083
6.7316615007,11.0614789170,17.7444240552
7.1720465340,11.6502720442,18.0566811070
7.6272480713,12.2520965594,18.4544351145
8.0966827395,12.8581168847,18.9431855095
8.5788940834,13.4576557645,19.5277327386
9.0714536068,14.0380674377,20.2116995126
9.5708637931,14.5847135326,20.9969587351
10.0724748460,15.0810870517,21.8829831480
10.5704302600,15.5091323994,22.8661501561
11.0576593139,15.8498049617,23.9390580350
11.5259363577,16.0838988536,25.0899343082
11.9660263886,16.1931436128,26.3022388292
12.3679326804,16.1615288879,27.5545762352
12.7212544000,15.9767640923,28.8210267616
13.0156498568,15.6317254213,30.0719737799
13.2413851345,15.1256988097,31.2754476852
13.3899304587,14.4652100973,32.3989232962
13.4545511217,13.6642565992,33.4114155093
13.4308301391,12.7438230592,34.2856373512
13.3170595984,11.7306721163,34.9999401918
13.1144487021,10.6555233700,35.5397661254
12.8271178825,9.5508455131,35.8984115053
12.4618763277,8.4485531576,36.0770147420
12.0278090777,7.3779062004,36.0838124377
11.5357234972,6.3638552316,35.9328226493
10.9975189270,5.4259797396,35.6421861176
10.4255458128,4.5780545623,35.2324141279
9.8320127354,3.8281818474,34.7247603071
9.2284847248,3.1793592706,34.1398701170
8.6254981333,2.6303267319,33.4967870596
8.0322999301,2.1765385422,32.8123268401
7.4567051651,1.8111353629,32.1007808999
6.9050567480,1.5258275870,31.3738822806
6.3822666514,1.3116394630,30.6409574535
5.8919163810,1.1594946170,29.9091921859
5.4363960004,1.0606462909,29.1839519223
5.0170640140,1.0069694077,28.4691124922
4.6344140925,0.9911381848,27.7673718436
4.2882383190,1.0067144702,27.0805260559
3.9777799485,1.0481702409,26.4097023762
3.7018714128,1.1108643532,25.7555485487
3.4590554392,1.1909897420,25.1183817017
3.2476887067,1.2855035046,24.4983021428
3.0660285347,1.3920490112,23.8952781509
2.9123037970,1.5088764592,23.3092077694
2.7847716303,1.6347661780,22.7399630195
2.6817616963,1.7689573716,22.1874211702
2.6017097784,1.9110838177,21.6514868656
2.5431824284,2.0611171998,21.1321081271
2.5048942501,2.2193181664,20.6292885698
2.4857192448,2.3861948195,20.1430976107
2.4846974618,2.5624680747,19.6736800095
2.5010380270,2.7490431693,19.2212657513
2.5341194319,2.9469864916,18.7861810424
2.5834878155,3.1575068322,18.3688610242
2.6488537980,3.3819401107,17.9698647071
2.7300882923,3.6217365756,17.5898925579
2.8272175721,3.8784494170,17.2298071384
2.9404177485,4.1537236438,16.8906571689
3.0700086753,4.4492839609,16.5737053661
3.2164471760,4.7669202234,16.2804603658
3.3803193490,5.1084688344,16.0127129733
3.5623315623,5.4757881862,15.7725768652
3.7632995928,5.8707259325,15.5625336453
3.9841351807,6.2950754482,15.3854819058
4.2258290883,6.7505184913,15.2447893633
4.4894294879,7.2385504942,15.1443465995
4.7760143174,7.7603845612,15.0886198809
5.0866559093,8.3168298248,15.0826992834
5.4223760052,8.9081396909,15.1323366244
5.7840889594,9.5338256179,15.2439655000
6.1725308248,10.1924330342,15.4246929878
6.5881719521,10.8812776506,15.6822493782
7.0311109338,11.5961436461,16.0248787241
7.5009483179,12.3309502839,16.4611494937
7.9966396162,13.0774009859,16.9996617811
8.5163289959,13.8246392391,17.6486264632
9.0571678441,14.5589489961,18.4152939589
9.6151263308,15.2635528727,19.3052178946
10.1848111878,15.9185777312,20.3213543809
10.7593089709,16.5012708437,21.4630227804
11.3300805348,16.9865554698,22.7247899955
11.8869381476,17.3480054392,24.0953854955
12.4181399141,17.5592862905,25.5568031548
12.9106347309,17.5960503106,27.0837868792
13.3504825264,17.4381838563,28.6439139757
13.7234573949,17.0721978449,30.1984644511
14.0158154348,16.4934484905,31.7041817172
14.2151773865,15.7078085104,33.1158892645
14.3114443321,14.7324145454,34.3897483299
14.2976409980,13.5952176315,35.4867657417
14.1705739139,12.3332557836,36.3760441221
13.9312063506,10.9898119312,37.0372573076
13.5846883583,9.6108504930,37.4619513541
13.1400314890,8.2412719241,37.6534921745
12.6094720327,6.9215418779,37.6257430454
12.0076108751,5.6851392722,37.4007831717
11.3504427599,4.5570676382,37.0061122657
10.6543894133,3.5534517635,36.4718029307
9.9354328021,2.6820576871,35.8279796316
9.2084142786,1.9434649157,35.1028630334
8.4865313369,1.3325910768,34.3214694252
7.7810334127,0.8403035678,33.5049328973
7.1010959656,0.4549221202,32.6703403380
6.4538391878,0.1634942702,31.8309363528
5.8444530836,-0.0472059192,30.9965567430
5.2763921777,-0.1899553835,30.1741715532
4.7516082513,-0.2766048895,29.3684494936
4.2707962828,-0.3178019556,28.5822863069
3.8336356157,-0.3228659832,27.8172653991
3.4390144945,-0.2997718222,27.0740382306
3.0852310577,-0.2552053201,26.3526246544
2.7701676137,-0.1946625028,25.6526407702
2.4914376538,-0.1225715347,24.9734653377
2.2465067775,-0.0424228913,24.3143566660
2.0327897317,0.0431019039,23.6745312361
1.8477262885,0.1320089696,23.0532138543
1.6888388617,0.2228815682,22.4496674031
1.5537747189,0.3147820141,21.8632085423
1.4403354614,0.4071664038,21.2932141743
1.3464961942,0.4998118366,20.7391222045
1.2704165188,0.5927553509,20.2004290977
1.2104451962,0.6862435653,19.6766859441
1.1651200469,0.7806919117,19.1674941652
1.1331643983,0.8766523355,18.6725015723
1.1134811634,0.9747883805,18.1913992074
1.1051454266,1.0758566499,17.7239192087
1.1073962437,1.1806937302,17.2698338317
1.1196282068,1.2902077582,16.8289556967
1.1413832060,1.4053739167,16.4011393109
1.1723427100,1.5272332311,15.9862839177
1.2123208048,1.6568941268,15.5843377485
1.2612581573,1.7955362799,15.1953037851
1.3192170136,1.9444163508,14.8192471895
1.3863772956,2.1048752335,14.4563046080
1.4630338178,2.2783464804,14.1066956203
1.5495946144,2.4663655619,13.7707366700
1.6465803324,2.6705796038,13.4488578925
1.7546246161,2.8927571936,13.1416233361
1.8744753723,3.1347977615,12.8497551659
2.0069967621,3.3987399154,12.5741625348
2.1531717148,3.6867679269,12.3159759071
2.3141046887,4.0012153176,12.0765877098
2.4910243158,4.3445641641,11.8577002732
2.6852854506,4.7194383079,11.6613820646
2.8983699894,5.1285881010,11.4901332142
3.1318856291,5.5748636113,11.3469612237
3.3875614808,6.0611723369,11.2354674896
3.6672391287,6.5904164090,11.1599447768
3.9728573231,7.1654030010,11.1254849355
4.3064280024,7.7887202229,11.1380948077
4.6700007482,8.4625692401,11.2048162233
5.0656120996,9.1885418692,11.3338429882
5.4952154125,9.9673317537,11.5346235323
5.9605861965,10.7983668834,11.8179321118
6.4631972300,11.6793524605,12.1958839034
7.0040574095,12.6057170453,12.6818599436
7.5835085486,13.5699630459,13.2902970040
8.2009756185,14.5609368750,14.0362862438
8.8546688327,15.5630566207,14.9349151692
9.5412412225,16.5555675807,16.0002841301
10.2554136841,17.5119387799,17.2441374911
10.9895914929,18.3995638557,18.6740790411
11.7335120140,19.1799791443,20.2914006307
12.4739815910,19.8098443702,22.0886493076
13.1947774371,20.2429223054,24.0471911221
13.8768024446,20.4332134131,26.1351827184
14.4985795184,20.3392235580,28.3064965215
15.0371489647,19.9290639944,30.5011989346
15.4693814630,19.1857416160,32.6480806615
15.7736411893,18.1116886585,34.6694322749
15.9316407009,16.7314412367,36.4877593575
15.9302454240,15.0915343594,38.0335511410
15.7629415880,13.2571820262,39.2527528855
15.4307024596,11.3060545378,40.1124581336
14.9420799829,9.3202134830,40.6036481480
14.3124923414,7.3777381839,40.7404964250
13.5628313749,5.5455931877,40.5565881761
12.7176316254,3.8748561834,40.0990794142
11.8030941644,2.3987416746,39.4221248986
10.8452382398,1.1331820314,38.5808006353
9.8683807614,0.0792702431,37.6263565695
8.8940481650,-0.7732959326,36.6031503578
7.9403357971,-1.4425462498,35.5471985769
7.0216645884,-1.9509028466,34.4860226552
6.1488489509,-2.3224814234,33.4393691580
5.3293798713,-2.5811209138,32.4204058010
4.5678349041,-2.7490931198,31.4370798941
3.8663438036,-2.8463713214,30.4934291410
3.2250581565,-2.8903159098,29.5907271056
2.6425914903,-2.8956450205,28.7284152116
2.1164109751,-2.8745824202,27.9048184913
1.6431725524,-2.8371024775,27.1176675598
1.2189984852,-2.7912169590,26.3644602076
0.8397006747,-2.7432682540,25.6426979152
0.5009554020,-2.6982081993,24.9500295836
0.1984360725,-2.6598516043,24.2843295683
-0.0720893745,-2.6311000007,23.6437314394
-0.3146901427,-2.6141350059,23.0266336184
-0.5332277457,-2.6105828474,22.4316885736
-0.7313298059,-2.6216526770,21.8577837072
-0.9123783632,-2.6482517097,21.3040193565
-1.0795092568,-2.6910802576,20.7696873633
-1.2356197558,-2.7507095559,20.2542522780
-1.3833821434,-2.8276450052,19.7573363345
-1.5252614172,-2.9223771437,19.2787087363
-1.6635356434,-3.0354223378,18.8182794441
-1.8003178178,-3.1673548667,18.3760974710
-1.9375783403,-3.3188317645,17.9523536193
-2.0771674081,-3.4906114928,17.5473875988
-2.2208367898,-3.6835672203,17.1616995063
-2.3702605506,-3.8986952000,16.7959657154
-2.5270543742,-4.1371184373,16.4510592922
-2.6927931653,-4.4000855312,16.1280751159
-2.8690266136,-4.6889642405,15.8283599219
-3.0572923813,-5.0052289570,15.5535474870
-3.2591264976,-5.3504408634,15.3055991257
-3.4760704587,-5.7262190925,15.0868495401
-3.7096743842,-6.1342006932,14.9000578222
-3.9614954124,-6.5759866394,14.7484630263
-4.2330903019,-7.0530705067,14.6358431292
-4.5260009521,-7.5667458206,14.5665753352
-4.8417312696,-8.1179875002,14.5456944619
-5.1817134994,-8.7073023831,14.5789444818
-5.5472618313,-9.3345436805,14.6728160944
-5.9395108224,-9.9986846066,14.8345603925
-6.3593360157,-10.6975477033,15.0721652428
-6.8072541582,-11.4274889574,15.3942770004
-7.2833007917,-12.1830403107,15.8100458923
-7.7868838520,-12.9565211754,16.3288693928
-8.3166135239,-13.7376397786,16.9600051733
-8.8701111951,-14.5131189263,17.7120252936
-9.4438041760,-15.2663979505,18.5920883980
-10.0327180744,-15.9774819514,19.6050195003
-10.6302852704,-16.6230280180,20.7522104781
-11.2281954016,-17.1767707324,22.0303906059
-11.8163211352,-17.6103882670,23.4303654983
-12.3827580367,-17.8948865459,24.9358801426
-12.9140186226,-18.0025232821,26.5228171346
-13.3954147977,-17.9092024342,28.1589769437
-13.8116473355,-17.5971485279,29.8046809414
-14.1475948187,-17.0575404301,31.4143686932
-14.3892593283,-16.2926817014,32.9392190376
-14.5247877890,-15.3172541999,34.3306231385
-14.5454552764,-14.1582797132,35.5441190380
-14.4464802960,-12.8536097962,36.5432259989
-14.2275503762,-11.4490428835,37.3025593957
-13.8929715848,-9.9944568608,37.8097013504
-13.4514118813,-8.5395560738,38.0655362034
-12.9152725288,-7.1298965430,38.0830686344
-12.2997781615,-5.8037550952,37.8850331188
-11.6219113309,-4.5901873002,37.5007941348
-10.8993253239,-3.5083522533,36.9630868282
-10.1493519051,-2.5679485240,36.3050689012
-9.3881867622,-1.7704572780,35.5579949236
-8.6302955001,-1.1108395714,34.7496440461
-7.8880464044,-0.5793670276,33.9034794149
-7.1715486943,-0.1633449122,33.0384174112
-6.4886586180,0.1514197157,32.1690399856
-5.8451094905,0.3794684736,31.3060820958
-5.2447230754,0.5348627066,30.4570518290
-4.6896655753,0.6306394307,29.6268775262
-4.1807193792,0.6784989193,28.8185132436
-3.7175497711,0.6886673913,28.0334649745
-3.2989529714,0.6698833185,27.2722230748
-2.9230776569,0.6294647790,26.5346014424
-2.5876164347,0.5734250530,25.8199926980
-2.2899667575,0.5066126192,25.1275525830
-2.0273627115,0.4328591319,24.4563276861
-1.7969802477,0.3551246997,23.8053397021
