x,y,z
-8.0000000000,8.0000000000,27.0000000000
-7.6835083771,7.9662506256,26.7315187196
-7.3739845759,7.9292918709,26.4699811083
-7.0713500193,7.8895377144,26.2152399253
-6.7755197473,7.8473762019,25.9671405526
-6.4864030457,7.8031705218,25.7255226208
-6.2039040449,7.7572601016,25.4902214761
-5.9279222794,7.7099616989,25.2610694803
-5.6583532148,7.6615704927,25.0378971712
-5.3950887490,7.6123611742,24.8205343016
-5.1380176764,7.5625890041,24.6088107424
-4.8870261207,7.5124908527,24.4025572774
-4.6419979469,7.4622862253,24.2016063050
-4.4028151369,7.4121782357,24.0057924333
-4.1693581410,7.3623545618,23.8149529962
-3.9415062084,7.3129883681,23.6289284966
-3.7191376859,7.2642391739,23.4475629703
-3.5021302986,7.2162537088,23.2707042951
-3.2903614098,7.1691667134,23.0982044413
-3.0837082536,7.1231017036,22.9299196688
-2.8820481554,7.0781717102,22.7657106836
-2.6852587308,7.0344799672,22.6054427523
-2.4932180653,6.9921205686,22.4489857803
-2.3058048811,6.9511790965,22.2962143607
-2.1228986875,6.9117332056,22.1470077954
-1.9443799157,6.8738531788,22.0012500919
-1.7701300414,6.8376024517,21.8588299396
-1.6000316955,6.8030381053,21.7196406690
-1.4339687618,6.7702113288,21.5835801953
-1.2718264648,6.7391678543,21.4505509491
-1.1134914467,6.7099483660,21.3204597964
-0.9588518357,6.6825888825,21.1932179502
-0.8077973054,6.6571211155,21.0687408743
-0.6602191263,6.6335728051,20.9469481817
-0.5160102091,6.6119680331,20.8277635290
-0.3750651423,6.5923275168,20.7111145069
-0.2372802223,6.5746688816,20.5969325290
-0.1025534790,6.5590069166,20.4851527195
0.0292153057,6.5453538119,20.3757137995
0.1581245826,6.5337193805,20.2685579751
0.2842710253,6.5241112633,20.1636308249
0.4077495249,6.5165351214,20.0608811890
0.5286531870,6.5109948132,19.9602610611
0.6470733337,6.5074925597,19.8617254807
0.7630995077,6.5060290972,19.7652324295
0.8768194797,6.5066038189,19.6707427293
0.9883192582,6.5092149061,19.5782199433
1.0976831014,6.5138594485,19.4876302810
1.2049935317,6.5205335566,19.3989425049
1.3103313516,6.5292324636,19.3121278416
